"filename", "language", "JavaScript", "JSON", "Markdown", "Properties", "Ignore", "comment", "blank", "total"
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\modal\VotingResults.js", "JavaScript", 130, 0, 0, 0, 0, 1, 9, 140
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\modal\attendee\Annoucement.js", "JavaScript", 144, 0, 0, 0, 0, 0, 8, 152
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\modal\attendee\Voting.js", "JavaScript", 71, 0, 0, 0, 0, 1, 12, 84
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\modal\host\CreateVoting.js", "JavaScript", 247, 0, 0, 0, 0, 0, 9, 256
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\modal\host\EditSettings.js", "JavaScript", 362, 0, 0, 0, 0, 0, 14, 376
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\modal\host\Invite.js", "JavaScript", 103, 0, 0, 0, 0, 0, 4, 107
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\sections\Interactives.js", "JavaScript", 42, 0, 0, 0, 0, 0, 4, 46
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\sections\Interactives\Chat.js", "JavaScript", 231, 0, 0, 0, 0, 0, 16, 247
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\sections\Interactives\Chat\Base.js", "JavaScript", 223, 0, 0, 0, 0, 0, 19, 242
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\sections\Interactives\Comm.js", "JavaScript", 177, 0, 0, 0, 0, 0, 10, 187
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\sections\Interactives\Comm\Base.js", "JavaScript", 109, 0, 0, 0, 0, 0, 5, 114
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\sections\Interactives\Full.js", "JavaScript", 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\sections\Interactives\Top.js", "JavaScript", 160, 0, 0, 0, 0, 0, 10, 170
